lake,start_sampling,end_sampling,days_sampled,years_sampled,tsi,trophic_status,lake_lat,lake_long,Country,database_s,variables,ssr_statio,lake_area,lake_vol,lake_depth,ssr_id,ssr_source,ssr_lat,ssr_long,ssr_lake_d,ssr_start,ssr_end,ssr_years_,ssr_origin,climate_zone
Alderfen broad N.,2000,2019,208,20,60.35139228,eutrophic,52.724,1.486,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,173.4469664,1958,2006,49,month,10
Alderfen inflow,2004,2019,178,16,53.49741509,eutrophic,52.726,1.481,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,173.4242541,1958,2006,49,month,10
Alfhildsgrund W.,1974,1978,13,5,34.44695258,oligotrophic,58.735,12.55,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Karlstad,5486.23,153000,27.9,2101,GEBA,59.36666667,13.46666667,87.84472264,1983,2017,35,month,7
Allequash lake,1981,2018,641,38,49.56095182,mesotrophic,46.038,-89.701,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,,,,480,GEBA,43.13333333,-89.33333333,324.0940343,1950,2006,48,month,7
Allgunnen,1995,2008,56,14,47.03593176,mesotrophic,57.223,14.615,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,13.65,121.8,8.9,2106,GEBA,56.93333333,14.73333333,32.99882758,1983,2017,35,month,7
Alton water,2003,2006,40,4,54.37015394,eutrophic,51.995,1.111,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,1.23,9.1,7.4,1299,GEBA,51.51666667,-0.116666667,100.118718,1958,2006,49,month,10
Anglesey outflow,2004,2019,98,16,54.67658132,eutrophic,52.663,-1.941,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,178.6122211,1958,2006,49,month,10
Aqualate mere,2004,2019,179,16,63.60603473,eutrophic,52.778,-2.333,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Aberporth,0.5,1.74,3.5,1293,GEBA,52.13333333,-4.566666667,167.906684,1957,2017,61,month,10
Attenborough,2007,2019,115,13,68.84200876,eutrophic,52.896,-1.24,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.43,0.7,1.6,1299,GEBA,51.51666667,-0.116666667,171.5895941,1958,2006,49,month,10
Baptiste lake N.,1983,2017,135,35,65.0169751,eutrophic,54.783,-113.55,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",Oliver AGDM,9.44,90.38,9.6,3014921,Climate ID,53.6466,-113.3546,127.1686413,2005,2020,16,day,7
Baptiste lake S.,1983,2017,135,35,64.56839275,eutrophic,54.75,-113.55,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",Oliver AGDM,9.44,90.38,9.6,3014921,Climate ID,53.6466,-113.3546,123.4781532,2005,2020,16,day,7
Barken S.,1980,1980,6,1,50.89659807,eutrophic,60.009,15.651,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Borlaenge,34.77,500.81,14.4,2099,GEBA,60.43333333,15.5,48.04883058,1988,2013,26,month,7
Barton broad E.,2000,2019,237,20,68.11863065,eutrophic,52.745,1.497,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.51,1.12,2.2,1299,GEBA,51.51666667,-0.116666667,175.7247286,1958,2006,49,month,10
Barton broad inflow,2005,2019,167,15,60.81951481,eutrophic,52.75,1.498,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,176.2120509,1958,2006,49,month,10
Barton broad outflow,2000,2019,231,20,67.93922465,eutrophic,52.736,1.499,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.51,1.12,2.2,1299,GEBA,51.51666667,-0.116666667,175.0457111,1958,2006,49,month,10
Bassenthwaite,1990,2013,559,24,54.89159678,eutrophic,54.653,-3.25,United Kingdom,UK Centre for Ecology and Hydrology,"chla', 'secchi', 'TP', 'pH', 'NO3', 'NH4', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,73.93603853,1956,2017,62,month,10
Bassenthwaite -england,2005,2019,162,15,49.63385666,mesotrophic,54.655,-3.221,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'secchi', 'TP', 'temp'",Eskdalemuir,5,62.96,12.6,1283,GEBA,55.31666667,-3.2,73.63024006,1956,2017,62,month,10
Belhalm tarn,1964,2013,1779,50,57.71408305,eutrophic,54.396,-2.977,United Kingdom,UK Centre for Ecology and Hydrology,"chla', 'secchi', 'TP', 'pH', 'NO3', 'NH4', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,103.468956,1956,2017,62,month,10
Belham tarn -england,2010,2019,113,10,54.34905737,eutrophic,54.398,-2.975,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,103.3349813,1956,2017,62,month,10
Bergundasjön N.,2001,2019,78,19,70.87371173,hypereutrophic,56.865,14.758,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,6.51,41.5,6.4,2106,GEBA,56.93333333,14.73333333,7.748508813,1983,2017,35,month,7
Betley mere,2006,2008,70,3,72.70166675,hypereutrophic,53.028,-2.376,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Aberporth,,,,1293,GEBA,52.13333333,-4.566666667,178.7409841,1957,2017,61,month,10
Betley mere inlet,2017,2019,29,3,66.44891555,eutrophic,53.029,-2.378,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Aberporth,,,,1293,GEBA,52.13333333,-4.566666667,178.7230023,1957,2017,61,month,10
Betley mere jetty,2017,2019,35,3,71.64087758,hypereutrophic,53.029,-2.374,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Aberporth,,,,1293,GEBA,52.13333333,-4.566666667,178.9364148,1957,2017,61,month,10
Big Muskellunge lake,1981,2018,641,38,40.24658203,mesotrophic,46.021,-89.612,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,3.48,22.52,6.5,480,GEBA,43.13333333,-89.33333333,321.6494515,1950,2006,48,month,7
Björkesåkrasjön,1997,2019,84,23,58.60585111,eutrophic,55.529,13.404,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Lund,0.62,1.89,3,2102,GEBA,55.71666667,13.21666667,24.02204896,1988,2017,30,month,7
Björkfjärden SE.,1966,2019,255,54,46.25162536,mesotrophic,59.29,17.52,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,25.37906459,1922,2017,96,month,7
Björsund,1996,2000,54,5,57.51222271,eutrophic,59.469,16.698,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,1083.13,14000,12.9,2103,GEBA,58.58333333,16.25,101.9984908,1988,2010,23,month,7
Blacken lake,1967,2019,257,53,52.60604885,eutrophic,59.474,16.544,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,1083.13,14000,12.9,2103,GEBA,58.58333333,16.25,100.602599,1988,2010,23,month,7
Blagdon lake,2005,2019,159,15,59.00923698,eutrophic,51.34,-2.711,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Aberporth,1.51,6.16,4.1,1293,GEBA,52.13333333,-4.566666667,155.6197141,1957,2017,61,month,10
Blanksjön,2005,2010,46,6,39.32073899,oligotrophic,56.212,15.178,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,0.2,0.64,3.2,2106,GEBA,56.93333333,14.73333333,84.82055057,1983,2017,35,month,7
Blea tarn,2007,2010,38,4,41.08390313,mesotrophic,54.429,-3.092,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,99.04925922,1956,2017,62,month,10
Bowyers water,2007,2019,148,13,56.32154581,eutrophic,51.693,-0.025,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",London Weather C.,0.12,0.13,1.1,1299,GEBA,51.51666667,-0.116666667,20.6196204,1958,2006,49,month,10
Bromlee lough overflow,2015,2018,47,4,47.38788208,mesotrophic,55.021,-2.334,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Eskdalemuir,0.21,0.72,3.4,1283,GEBA,55.31666667,-3.2,64.21858286,1956,2017,62,month,7
Brotherswater,2005,2019,151,15,37.98119325,oligotrophic,54.505,-2.924,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'secchi', 'TP', 'temp'",Eskdalemuir,0.2,1.53,7.9,1283,GEBA,55.31666667,-3.2,92.07637664,1956,2017,62,month,7
Brunnsjön,1996,2019,150,24,46.35779966,mesotrophic,60.272,15.97,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Borlaenge,1.4,11.11,7.9,2099,GEBA,60.43333333,15.5,31.57149883,1988,2013,26,month,7
Buck lake,1983,1991,19,9,61.76379168,eutrophic,52.983,-114.767,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",EDMONTON STONY PLAIN,25.8,195.87,7.6,301222F,ECCC,53.55,-114.11,76.79114165,1966,2006,40,day,7
Buffalo lake main,1985,2000,42,16,53.83789191,eutrophic,52.483,-112.867,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",Three Hills AGCM,86.19,338.33,3.9,3026479,Climate ID,51.7673,-113.2058,82.98849995,2005,2020,16,day,7
Burghfield lake,2007,2009,30,3,54.66407295,eutrophic,51.425,-1.016,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.24,0.25,1,1299,GEBA,51.51666667,-0.116666667,63.30730828,1958,2006,49,month,10
Buttermere,2005,2019,177,15,37.93594732,oligotrophic,54.536,-3.28,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,87.09831494,1956,2017,62,month,10
Bösjön,1996,2019,152,24,34.72282215,oligotrophic,61.324,14.292,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Borlaenge,1.17,13.54,11.6,2099,GEBA,60.43333333,15.5,118.9479003,1988,2013,26,month,7
Calling lake,1988,1988,6,1,59.55354806,eutrophic,55.25,-113.333,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NH4'",Oliver AGDM,138.13,2912.11,21.1,3014921,Climate ID,53.6466,-113.3546,178.4850959,2005,2020,16,day,7
Carr,2006,2019,111,14,59.43659142,eutrophic,52.814,-1.441,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.65,3.29,5.1,1299,GEBA,51.51666667,-0.116666667,170.4307469,1958,2006,49,month,10
Carsington water,2010,2019,111,10,43.97901364,mesotrophic,53.048,-1.635,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",London Weather C.,2.9,35,12.1,1299,GEBA,51.51666667,-0.116666667,199.39762,1958,2006,49,month,10
Castle water,2006,2010,55,5,56.84814828,eutrophic,50.93,0.739,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,88.5105825,1958,2006,49,month,10
Central long lake,1992,1995,49,4,56.15345677,eutrophic,45.613,-79.009,United States of America,Environmental Data Initiative,"chla', 'Depth'",,,,,,,,,,,,,,7
Chapel mere,2006,2008,56,3,63.78030057,eutrophic,53.062,-2.688,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Aberporth,,,,1293,GEBA,52.13333333,-4.566666667,163.9562249,1957,2017,61,month,10
Clear lake,1980,2017,216,38,47.67074346,mesotrophic,50.679,-100.007,Canada,North Temperate Lakes LTER,"chla', 'Depth'",,31.13,388.24,12.5,,,,,,,,,,7
Clear lake- alms,2002,2008,30,7,58.75635839,eutrophic,50.15,-113.417,,,,,,,,,,,,,,,,,8
Coal lake,1984,1985,12,2,67.5863233,eutrophic,53.056,-113.253,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Oliver AGDM,9.78,156.39,16,3014921,Climate ID,53.6466,-113.3546,66.12704442,2005,2020,16,day,7
Cockshoot broad,2000,2019,208,20,61.98504528,eutrophic,52.686,1.468,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,169.5046238,1958,2006,49,month,10
Cole mere,2013,2019,78,7,65.66024292,eutrophic,52.895,-2.851,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Aberporth,0.29,0.82,2.8,1293,GEBA,52.13333333,-4.566666667,144.067265,1957,2017,61,month,10
Colliford lake,2008,2019,119,12,66.13321733,eutrophic,50.51,-4.573,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Camborne,3.27,29.1,8.9,1303,GEBA,50.21666667,-5.316666667,62.20675539,1964,2017,37,month,10
Comber mere,2005,2019,134,15,62.48685476,eutrophic,52.995,-2.601,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Aberporth,,,,1293,GEBA,52.13333333,-4.566666667,164.211542,1957,2017,61,month,10
Coniston water,2005,2019,167,15,42.81869017,mesotrophic,54.353,-3.066,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'secchi', 'TP', 'temp'",Eskdalemuir,4.31,53.28,12.4,1283,GEBA,55.31666667,-3.2,107.616838,1956,2017,62,month,10
Coniston water -stillwater,2005,2006,22,2,44.67711745,mesotrophic,54.3,-3.093,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,4.31,53.28,12.4,1283,GEBA,55.31666667,-3.2,113.3387976,1956,2017,62,month,10
Constance untersee -rhein river,1998,2019,538,22,42.21644755,mesotrophic,47.652,8.895,Switzerland,LUBW data and map service,"chla', 'Ost', 'Nord'",Zuerich-Kloten,522.02,49000,93.9,1572,GEBA,47.48333333,8.533333333,33.00617262,1959,2017,48,month,7
Cotswold lake 12,2011,2019,108,9,47.70865157,mesotrophic,51.67,-1.909,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",London Weather C.,1.69,2.02,1.2,1299,GEBA,51.51666667,-0.116666667,125.3575422,1958,2006,49,month,10
Cotswold lake 12 outflow,2004,2007,39,4,47.13425307,mesotrophic,51.668,-1.907,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,1.69,2.02,1.2,1299,GEBA,51.51666667,-0.116666667,125.1769468,1958,2006,49,month,10
Crag lough,2015,2019,56,5,52.7403367,eutrophic,55.006,-2.362,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,63.63884884,1956,2017,62,month,7
Cromes broad,2001,2019,204,19,62.12689682,eutrophic,52.722,1.514,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,174.5206397,1958,2006,49,month,10
Crose mere S.,2004,2019,182,16,64.11957149,eutrophic,52.871,-2.848,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Aberporth,0.15,0.33,2.2,1293,GEBA,52.13333333,-4.566666667,142.625438,1957,2017,61,month,10
Crystal bog,1981,2018,633,38,66.68300691,eutrophic,46.008,-89.606,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,,,,480,GEBA,43.13333333,-89.33333333,320.1755277,1950,2006,48,month,7
Crystal lake,1981,2018,663,38,37.65703383,oligotrophic,46.003,-89.612,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,0.32,1.13,3.5,480,GEBA,43.13333333,-89.33333333,319.6537359,1950,2006,48,month,7
Derwentwater,1990,2013,566,24,46.86655714,mesotrophic,54.575,-3.146,United Kingdom,UK Centre for Ecology and Hydrology,"chla', 'secchi', 'TP', 'pH', 'NO3', 'NH4', 'temp'",Eskdalemuir,4.97,53.37,10.7,1283,GEBA,55.31666667,-3.2,82.60477095,1956,2017,62,month,10
Derwentwater -england,2007,2019,149,13,43.96636183,mesotrophic,54.579,-3.146,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,4.97,53.37,10.7,1283,GEBA,55.31666667,-3.2,82.21570167,1956,2017,62,month,10
Driedmeat lake -site 2,1984,1999,13,16,68.59062076,eutrophic,52.892,-112.788,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Oliver AGDM,12.41,17.9,1.4,3014921,Climate ID,53.6466,-113.3546,92.1429985,2005,2020,16,day,7
Eagle lake,1988,1988,11,1,65.28497465,eutrophic,51,-113.317,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",Strathmore IMCIN,11.97,23.73,2,3036205,Climate ID,51.0387,-113.2897,4.702886969,2005,2020,16,day,8
East long lake,1989,2006,173,18,60.27541829,eutrophic,46.24,-89.5,United States of America,Environmental Data Initiative,"chla', 'Depth', 'DIC'",,0.65,2.39,3.7,,,,,,,,,,7
Ekoln Vreta Udd,1966,2019,279,54,54.69847104,eutrophic,59.758,17.594,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,49.70825978,1922,2017,96,month,7
Ekoln special,1967,1969,79,3,54.96139979,eutrophic,59.787,17.616,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,52.26323437,1922,2017,96,month,7
Elterwater -inner basin,2005,2019,147,15,59.42339288,eutrophic,54.429,-3.035,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'secchi', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,99.35342416,1956,2017,62,month,10
Elterwater -middle basin,2005,2019,142,15,53.08592719,eutrophic,54.429,-3.03,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'secchi', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,99.4456995,1956,2017,62,month,10
Elterwater -outer basin,2005,2019,148,15,42.94738519,mesotrophic,54.428,-3.025,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'secchi', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,99.56553494,1956,2017,62,month,10
Elterwater -stillwater,2005,2006,23,2,41.54932315,mesotrophic,54.427,-3.023,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,99.64790136,1956,2017,62,month,10
Ennerdale water -bowness knott,2007,2019,148,13,35.41165799,oligotrophic,54.52,-3.373,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,2.79,47.93,17.2,1283,GEBA,55.31666667,-3.2,89.38717607,1956,2017,62,month,10
Esthwaite water,1964,2013,1827,50,60.25868843,eutrophic,54.362,-2.986,United Kingdom,UK Centre for Ecology and Hydrology,"chla', 'secchi', 'TP', 'pH', 'NO3', 'NH4', 'temp'",Eskdalemuir,0.71,3.61,5.1,1283,GEBA,55.31666667,-3.2,107.1190084,1956,2017,62,month,10
Esthwaite water -lakes tour,2013,2014,13,2,53.75285615,eutrophic,54.363,-2.988,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Eskdalemuir,0.71,3.61,5.1,1283,GEBA,55.31666667,-3.2,107.0684037,1956,2017,62,month,10
Ethel Lake -cold lake,1980,2017,168,38,50.54059637,eutrophic,54.53,-110.354,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",,4.88,30.48,6.2,,,,,,,,,,7
Experimental lake 114,1971,2019,536,49,50.53208283,eutrophic,49.4,-93.45,Canada,IISD-ELA,"chla', 'secchi', 'TP', 'DOC', 'temp', 'PAR'",ELA,0.44,2.26,5.2,MET,ELA,49.664,-93.7327,35.78997048,1968,2019,33,day,8
Experimental lake 224,1974,2019,454,46,34.3578906,oligotrophic,49.41,-93.43,Canada,IISD-ELA,"chla', 'secchi', 'TP', 'DOC', 'temp', 'PAR'",ELA,0.37,2.1,5.7,MET,ELA,49.664,-93.7327,35.75054381,1968,2019,33,day,8
Experimental lake 239,1969,2019,689,51,40.35195524,mesotrophic,49.41,-93.44,Canada,IISD-ELA,"chla', 'secchi', 'TP', 'DOC', 'temp', 'PAR'",ELA,0.37,2.1,5.7,MET,ELA,49.664,-93.7327,35.31158262,1968,2019,33,day,8
Experimental lake 442,1987,2019,269,33,39.24780878,oligotrophic,49.46,-93.49,Canada,IISD-ELA,"chla', 'secchi', 'TP', 'DOC', 'temp', 'PAR'",ELA,,,,MET,ELA,49.664,-93.7327,28.68931781,1968,2019,33,day,8
Figure eight lake,1989,1989,6,1,66.25455548,eutrophic,56.301,-117.903,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",,0.36,1.29,3.6,,,,,,,,,,7
Filby broad,2000,2019,284,20,61.99618434,eutrophic,52.662,1.638,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Oostende / Airpt.,0.3,0.48,1.6,2415,GEBA,51.2,2.866666667,183.3537124,1975,2008,30,month,10
Fiolen,1996,2019,158,24,47.12515984,mesotrophic,57.092,14.53,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,1.54,6.8,4.4,2106,GEBA,56.93333333,14.73333333,21.57286779,1983,2017,35,month,7
