lake,start_sampling,end_sampling,days_sampled,years_sampled,tsi,trophic_status,lake_lat,lake_long,Country,database_s,variables,ssr_statio,lake_area,lake_vol,lake_depth,ssr_id,ssr_source,ssr_lat,ssr_long,ssr_lake_d,ssr_start,ssr_end,ssr_years_,ssr_origin,climate_zone
Fish lake,1999,2018,245,20,54.20553398,eutrophic,43.287,-89.652,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,0.85,3.62,4.3,480,GEBA,43.13333333,-89.33333333,31.01663368,1950,2006,48,month,8
Fjällfotasjön,2015,2017,18,3,71.26143801,hypereutrophic,55.521,13.302,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Lund,1.56,4.56,2.9,2102,GEBA,55.71666667,13.21666667,22.38733824,1988,2017,30,month,7
Fleet lake,2007,2019,149,13,53.16020618,eutrophic,51.408,-0.51,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.17,0.19,1.1,1299,GEBA,51.51666667,-0.116666667,29.90942663,1958,2006,49,month,10
Fonthill lake -outlet,2004,2019,107,16,63.27968818,eutrophic,51.079,-2.09,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,146.0268758,1958,2006,49,month,10
Fordwich lake,2007,2009,35,3,73.38877769,hypereutrophic,51.296,1.134,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.12,0.26,2.2,1299,GEBA,51.51666667,-0.116666667,90.4265539,1958,2006,49,month,10
Fork lake,2005,2005,6,1,60.10192113,eutrophic,54.489,-111.586,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Oliver AGDM,13.64,111.45,8.2,3014921,Climate ID,53.6466,-113.3546,149.0189396,2005,2020,16,day,7
Fritton lake -country park,2007,2009,34,3,69.49944535,eutrophic,52.542,1.653,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Oostende / Airpt.,0.33,0.97,2.9,2415,GEBA,51.2,2.866666667,171.1111626,1975,2008,30,month,10
Fritton lakes -lound mill,2010,2019,110,10,69.69412361,eutrophic,52.547,1.689,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Oostende / Airpt.,,,,2415,GEBA,51.2,2.866666667,170.3737668,1975,2008,30,month,10
Funbosjön,2018,2018,7,1,64.65128251,eutrophic,59.86,17.86,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,,,,1414,GEBA,59.35,17.95,56.99827764,1922,2017,96,month,7
Galten,1966,2019,263,54,60.29448583,eutrophic,59.453,16.151,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,1083.13,14000,12.9,2103,GEBA,58.58333333,16.25,97.08600949,1988,2010,23,month,7
Galten W.,1970,1973,24,4,61.36104635,eutrophic,59.469,16.088,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,1083.13,14000,12.9,2103,GEBA,58.58333333,16.25,99.12334573,1988,2010,23,month,7
Garnsviken,2010,2010,10,1,50.18134794,eutrophic,59.514,18.262,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1.94,18.81,9.7,1414,GEBA,59.35,17.95,25.46515829,1922,2017,96,month,7
Getasjön,2001,2008,13,8,52.82712036,eutrophic,56.669,15.569,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,0.32,0.8,2.5,2106,GEBA,56.93333333,14.73333333,58.89195954,1983,2017,35,month,7
Geten,2007,2019,71,13,55.7174121,eutrophic,58.561,15.722,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,0.2,0.91,4.6,2103,GEBA,58.58333333,16.25,30.84225945,1988,2010,23,month,7
Giles lake,1989,2019,150,31,33.9405354,oligotrophic,41.376,-75.093,United States of America,Environmental Data Initiative,"chla', 'secchi', 'TP', 'DOC', 'NO3', 'NH4', 'temp', 'PAR', 'SRP'",Rock Springs,0.45,2.18,4.8,PSU,BSRN,40.72,-77.9333,249.6722886,1998,2019,22,day,10
Glan,1994,2008,67,15,51.55815415,eutrophic,58.2,15.959,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,0.64,3.16,4.9,2103,GEBA,58.58333333,16.25,45.95074383,1988,2010,23,month,7
Goose lake,1988,1995,51,8,63.33211047,eutrophic,54.318,-115.114,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",EDMONTON STONY PLAIN,3.06,16.23,5.3,301222F,ECCC,53.55,-114.11,107.9209359,1966,2006,40,day,7
Granfj. Djurgårds Udde,1967,2019,266,53,53.3941796,eutrophic,59.494,16.811,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,1083.13,14000,12.9,2103,GEBA,58.58333333,16.25,106.4786377,1988,2010,23,month,7
Grasmere,1971,2013,1163,43,52.77241068,eutrophic,54.449,-3.02,United Kingdom,UK Centre for Ecology and Hydrology,"chla', 'secchi', 'TP', 'pH', 'NO3', 'NH4', 'temp'",Eskdalemuir,0.52,3.57,6.9,1283,GEBA,55.31666667,-3.2,97.27352588,1956,2017,62,month,10
Grasmere -england,2005,2009,65,5,47.52268382,mesotrophic,54.45,-3.026,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'secchi', 'TP', 'temp'",Eskdalemuir,0.52,3.57,6.9,1283,GEBA,55.31666667,-3.2,97.07687487,1956,2017,62,month,10
Grasmere -stillwater,2007,2019,151,13,50.69666481,eutrophic,54.449,-3.019,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,0.52,3.57,6.9,1283,GEBA,55.31666667,-3.2,97.29837965,1956,2017,62,month,10
Great lake,2007,2019,116,13,69.71061149,eutrophic,53.25,-1.135,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.33,1.17,3.6,1299,GEBA,51.51666667,-0.116666667,204.9592215,1958,2006,49,month,10
Great puckstone lake,2007,2019,149,13,63.51141217,eutrophic,51.305,1.17,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.23,0.52,2.2,1299,GEBA,51.51666667,-0.116666667,92.53224264,1958,2006,49,month,10
Greatstone lake,2006,2019,159,14,63.85530432,eutrophic,50.958,0.958,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,97.43136592,1958,2006,49,month,10
Green valley lake,2000,2019,115,20,44.50773331,mesotrophic,40.056,-105.617,United States of America,Knowledge Network for Biocomplexity (KNB),"chla', 'secchi', 'NO3', 'Depth', 'temp', 'PAR'",Boulder  (BSRN),,,,2353,GEBA,40.05,-105.9833333,31.24990078,1992,2015,24,month,7
Greenlee lough,2014,2018,60,5,51.66496273,eutrophic,55.019,-2.366,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Eskdalemuir,0.34,1.31,3.8,1283,GEBA,55.31666667,-3.2,62.65066718,1956,2017,62,month,7
Gregoire lake,1993,2005,20,13,51.47211201,eutrophic,56.444,-111.097,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'pH', 'TKN', 'NO2', 'NH4'",,26.68,255.16,9.6,,,,,,,,,,7
Grönskogssjön,1992,1998,26,7,48.35785143,mesotrophic,57.163,16.347,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,0.6,2,3.3,2103,GEBA,58.58333333,16.25,158.3299447,1988,2010,23,month,7
Grönsöfjärden Selaön,1967,1968,12,2,51.92334633,eutrophic,59.466,17.269,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,40.78987484,1922,2017,96,month,7
Gyltigesjön,1996,2009,100,14,42.62541328,mesotrophic,56.753,13.174,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Lund,0.62,3.28,5.3,2102,GEBA,55.71666667,13.21666667,115.4409027,1988,2017,30,month,7
Gyslättasjön,1996,2010,119,15,52.18130023,eutrophic,57.108,14.448,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,,,,2106,GEBA,56.93333333,14.73333333,26.03561279,1983,2017,35,month,7
Görväln S.,1967,2019,269,53,51.39610567,eutrophic,59.419,17.74,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,14.22432194,1922,2017,96,month,7
Hagsjön,2006,2010,38,5,44.21244709,mesotrophic,58.762,15.934,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,,,,2103,GEBA,58.58333333,16.25,27.08928775,1988,2010,23,month,7
Hamilton harbour,1987,2018,816,32,55.27744659,eutrophic,43.297,-79.799,United States of America,Open Canada,"lat', 'long', 'chla', 'TP', 'DOC', 'TKN', 'Depth', 'DIC', 'POC', 'SRP'",,19347.36,1640000,84.8,,,,,,,,,,8
Hardley flood,2007,2009,34,3,77.00092023,hypereutrophic,52.542,1.508,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Oostende / Airpt.,0.18,0.37,2.1,2415,GEBA,51.2,2.866666667,176.1816663,1975,2008,30,month,10
Hatch mere,2006,2014,104,9,67.00406391,eutrophic,53.244,-2.671,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'secchi', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,233.2087093,1956,2017,62,month,10
Haunted lake,1997,1997,6,1,49.35680434,mesotrophic,52.404,-113.159,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'pH', 'TKN', 'NO2', 'NH4'",Three Hills AGCM,1.68,4.94,2.9,3026479,Climate ID,51.7673,-113.2058,70.96593267,2005,2020,16,day,7
Havgårdssjön,2015,2019,42,5,57.72877248,eutrophic,55.488,13.357,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Lund,0.42,1.61,3.9,2102,GEBA,55.71666667,13.21666667,26.95185578,1988,2017,30,month,7
Hawes water -stillwater,2005,2019,170,15,47.5091983,mesotrophic,54.181,-2.801,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,129.0055263,1956,2017,62,month,10
Heigham sound,2000,2019,251,20,68.05042641,eutrophic,52.726,1.605,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Oostende / Airpt.,0.2,0.22,1.1,2415,GEBA,51.2,2.866666667,190.6992611,1975,2008,30,month,10
Hemfjärden,1968,1986,72,19,73.96049424,hypereutrophic,59.282,15.339,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,474.39,8077.22,17,2103,GEBA,58.58333333,16.25,93.83311882,1988,2010,23,month,7
Hickling broad,2000,2019,257,20,69.09778888,eutrophic,52.74,1.581,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Oostende / Airpt.,1.04,0.71,0.7,2415,GEBA,51.2,2.866666667,192.76812,1975,2008,30,month,10
Hjulstabron W.,1980,2000,236,21,51.6313597,eutrophic,59.532,17.009,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,57.12231157,1922,2017,96,month,7
Horsey mere,2000,2019,231,20,63.93346039,eutrophic,52.741,1.627,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Oostende / Airpt.,0.27,0.41,1.5,2415,GEBA,51.2,2.866666667,191.4671743,1975,2008,30,month,10
Hoveton great broad,2014,2019,60,6,68.98381028,eutrophic,52.697,1.428,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,168.6070817,1958,2006,49,month,10
Hoveton great broad -edge,2007,2013,51,7,69.33503118,eutrophic,52.692,1.426,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,168.1058854,1958,2006,49,month,10
Hoveton little broad,2000,2003,35,4,65.0234639,eutrophic,52.705,1.443,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,170.0063825,1958,2006,49,month,10
Hoveton little broad E.,2000,2019,64,20,71.13970701,hypereutrophic,52.706,1.448,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,170.2662369,1958,2006,49,month,10
Hudson's bay E.,2014,2019,60,6,68.18878328,eutrophic,52.698,1.424,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",London Weather C.,,,,1299,GEBA,51.51666667,-0.116666667,168.6025922,1958,2006,49,month,10
Hulingen,1992,1998,26,7,48.73334171,mesotrophic,57.478,15.856,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,6.85,37.78,5.5,2103,GEBA,58.58333333,16.25,125.27412,1988,2010,23,month,7
Häckebergasjön,1993,2019,108,27,69.11154143,eutrophic,55.582,13.427,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Lund,0.54,1.94,3.6,2102,GEBA,55.71666667,13.21666667,19.9830853,1988,2017,30,month,7
Iosegun lake,1983,1983,7,1,63.69099151,eutrophic,54.467,-116.833,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",EDMONTON STONY PLAIN,13.49,76.87,5.7,301222F,ECCC,53.55,-114.11,205.624242,1966,2006,40,day,7
Isle lake,1983,1997,29,15,66.31671518,eutrophic,53.633,-114.733,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",EDMONTON STONY PLAIN,22.19,140.9,6.3,301222F,ECCC,53.55,-114.11,42.30332225,1966,2006,40,day,7
Jackfish lake,1980,1996,34,17,54.97212423,eutrophic,53.479,-114.256,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",EDMONTON STONY PLAIN,2.48,13.42,5.4,301222F,ECCC,53.55,-114.11,12.46513474,1966,2006,40,day,7
Kasumigaura,1977,2017,332,41,74.97970703,hypereutrophic,36.051,140.378,Japan,National Institute for Environmental Studies Biodiversity Area,"chla', 'Depth', 'POC'",,168.26,1182.9,7,,,,,,,,,,11
Kolsundet SE.,2001,2003,12,3,46.46999718,mesotrophic,59.355,17.295,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,37.25827033,1922,2017,96,month,7
Kolsundet W.,1967,1968,12,2,53.14345816,eutrophic,59.355,17.298,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,37.06809115,1922,2017,96,month,7
Krageholmssjön,1996,2019,21,24,66.0041482,eutrophic,55.496,13.762,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Lund,1.89,9.04,4.8,2102,GEBA,55.71666667,13.21666667,42.22664654,1988,2017,30,month,7
Kvicksundsbron,1980,2000,243,21,55.75399654,eutrophic,59.45,16.314,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,1083.13,14000,12.9,2103,GEBA,58.58333333,16.25,96.59765244,1988,2010,23,month,7
Kyrkfjärden,1967,1968,12,2,52.31147404,eutrophic,59.435,18.19,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,2.09,13.62,6.5,1414,GEBA,59.35,17.95,16.57483884,1922,2017,96,month,7
Kyrksjön,2001,2001,6,1,53.94334758,eutrophic,56.535,15.601,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,1.21,3.11,2.6,2106,GEBA,56.93333333,14.73333333,69.22318476,1983,2017,35,month,7
Källsjön,1997,2019,146,23,38.71517462,oligotrophic,61.634,16.736,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Borlaenge,0.23,1.38,5.9,2099,GEBA,60.43333333,15.5,149.4893146,1988,2013,26,month,7
Kållen,1989,2008,42,20,60.26108307,eutrophic,57.167,15.394,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,0.27,0.77,2.8,2106,GEBA,56.93333333,14.73333333,47.79432255,1983,2017,35,month,7
Kånkåstjärnen,2006,2010,38,5,36.53680018,oligotrophic,62.608,16.896,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Oestersund,0.1,0.69,6.9,2104,GEBA,63.18333333,14.5,137.6726834,1983,2013,31,month,7
Lac la biche E.,1989,1989,6,1,63.756429,eutrophic,54.667,-112.033,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Oliver AGDM,,,,3014921,Climate ID,53.6466,-113.3546,142.6217189,2005,2020,16,day,7
Lac la nonne,1988,2003,25,16,70.43970912,hypereutrophic,53.943,-114.314,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",EDMONTON STONY PLAIN,12.81,94.98,7.4,301222F,ECCC,53.55,-114.11,45.74982364,1966,2006,40,day,7
Lac saint cyr -whole lake,1983,1995,33,13,51.7948253,eutrophic,53.905,-111.19,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Oliver AGDM,2.03,10.2,5,3014921,Climate ID,53.6466,-113.3546,145.5699502,2005,2020,16,day,7
Lac ste. Anne E.,1984,1997,40,14,66.75966307,eutrophic,53.708,-114.4,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",EDMONTON STONY PLAIN,55.83,403.49,7.2,301222F,ECCC,53.55,-114.11,26.05020938,1966,2006,40,day,7
Lac ste. Anne W.,1984,1997,30,14,67.62205419,eutrophic,53.717,-114.5,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",EDMONTON STONY PLAIN,55.83,403.49,7.2,301222F,ECCC,53.55,-114.11,31.77540372,1966,2006,40,day,7
Lacawac,1989,2019,170,31,45.12764593,mesotrophic,41.381,-75.292,United Kingdom,Environmental data initiative,"chla', 'secchi', 'TP', 'DOC', 'NO3', 'NH4', 'temp', 'PAR', 'SRP'",Rock Springs,,,,PSU,BSRN,40.72,-77.9333,233.8865011,1998,2019,22,day,7
Lake McGregor,1983,1984,22,2,52.01002868,eutrophic,50.543,-112.896,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Enchant IMCIN,42.21,326.1,7.7,3032422,Climate ID,50.172,-112.4364,52.66431321,2005,2020,16,day,8
Lake erie -cruise,2000,2017,120,18,41.23244325,mesotrophic,42.791,-79.208,United States of America,Open Canada,"lat', 'long', 'chla', 'secchi', 'TP', 'pH', 'TKN', 'Depth', 'temp', 'Depth_to', 'POC', 'SRP'",Rock Springs,25767.79,499000,19.4,PSU,BSRN,40.72,-77.9333,253.3001923,1998,2019,22,day,10
Lake huron,2000,2018,129,19,31.04467596,oligotrophic,43.09,-82.392,United States of America,Open Canada,"lat', 'long', 'chla', 'secchi', 'TP', 'pH', 'TKN', 'Depth', 'temp', 'Depth_to', 'POC', 'SRP'",,59399.3,3550000,59.8,,,,,,,,,,8
Lake mendota,1999,2018,269,20,54.51344062,eutrophic,43.099,-89.405,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,41.12,197.4,4.8,480,GEBA,43.13333333,-89.33333333,6.969185027,1950,2006,48,month,8
Lake newell,1983,1984,23,2,54.28105451,eutrophic,50.433,-111.917,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Rolling Hills AGCM,61.28,115.59,1.9,3035530,Climate ID,50.2651,-111.7011,24.19910807,2005,2020,15,day,8
Lake ontario,2001,2018,124,18,39.2304471,oligotrophic,43.314,-79.751,United States of America,Open Canada,"lat', 'long', 'chla', 'secchi', 'TP', 'pH', 'TKN', 'Depth', 'temp', 'Depth_to', 'POC', 'SRP'",,19347.36,1640000,84.8,,,,,,,,,,8
Lambarfjärden,1967,1978,60,12,49.99061433,mesotrophic,59.359,17.795,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,8.851498518,1922,2017,96,month,7
Levrasjön,1998,2017,72,20,45.16237035,mesotrophic,56.104,14.491,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,2.59,12.72,4.9,2106,GEBA,56.93333333,14.73333333,93.53789967,1983,2017,35,month,7
Lien,1996,2009,111,14,38.19314742,oligotrophic,59.811,15.521,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Borlaenge,1.4,8.87,6.4,2099,GEBA,60.43333333,15.5,69.31679378,1988,2013,26,month,7
Lillasjön,2006,2010,38,5,44.28309224,mesotrophic,56.96,15.398,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,0.57,2.33,4.1,2106,GEBA,56.93333333,14.73333333,40.53140799,1983,2017,35,month,7
Lillsjön,2009,2009,7,1,58.45955179,eutrophic,62.76,15.229,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Oestersund,,,,2104,GEBA,63.18333333,14.5,59.94233992,1983,2013,31,month,7
Lindöviken W.,1974,1978,19,5,34.94049942,oligotrophic,60.022,23.194,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Jokioinen,,,,1238,GEBA,60.81666667,23.5,90.1803737,1957,2017,61,month,7
Little fish lake,1983,1985,17,3,68.90745307,eutrophic,51.367,-112.233,Canada,Alberta Environment and Parks data repository,"'lat', 'long', 'chla', 'secchi', 'TP', 'pH', 'TKN', 'NO2', 'NH4'",Hussar AGDM,6.71,29.46,4.4,3023402,Climate ID,51.1911,-112.5027,27.10722184,2005,2020,16,day,8
Littlesea lake,2004,2019,184,16,61.66994306,eutrophic,50.659,-1.962,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.2,0.43,2.2,1299,GEBA,51.51666667,-0.116666667,160.663389,1958,2006,49,month,10
